tiempo,S,E,I,R,aislados
0.0,63,0,6,0,0
1.0,61,2,6,0,0
2.0,61,2,6,0,0
3.0,61,0,8,0,0
4.0,60,1,8,0,0
5.0,60,1,8,0,0
6.0,60,0,3,6,0
7.0,60,0,3,6,0
8.0,60,0,1,8,0
9.0,60,0,1,8,0
10.0,60,0,1,8,0
11.0,59,1,0,9,0
12.0,59,1,0,9,0
13.0,59,0,1,9,0
14.0,59,0,1,9,0
15.0,58,1,1,9,0
16.0,58,1,1,9,0
17.0,58,0,2,9,0
18.0,58,0,1,10,0
19.0,58,0,1,10,0
20.0,58,0,1,10,0
21.0,58,0,1,10,0
22.0,58,0,0,11,0
23.0,58,0,0,11,0
24.0,58,0,0,11,0
25.0,58,0,0,11,0
26.0,58,0,0,11,0
27.0,58,0,0,11,0
28.0,58,0,0,11,0
29.0,58,0,0,11,0
30.0,58,0,0,11,0
31.0,58,0,0,11,0
32.0,58,0,0,11,0
33.0,58,0,0,11,0
34.0,58,0,0,11,0
35.0,58,0,0,11,0
36.0,58,0,0,11,0
37.0,58,0,0,11,0
38.0,58,0,0,11,0
39.0,58,0,0,11,0
40.0,58,0,0,11,0
