dia,S,E,I,R,aislados,nuevos_E
1,56,7,6,0,0,7
2,51,5,13,0,0,5
3,48,3,18,0,1,3
4,40,8,21,0,1,8
5,35,5,23,6,1,5
6,34,1,28,6,1,1
7,28,6,22,13,2,6
8,27,1,23,18,2,1
9,27,0,21,21,2,0
10,26,1,13,29,1,1
11,26,0,9,34,1,0
12,26,0,8,35,1,0
13,26,0,2,41,0,0
14,26,0,1,42,0,0
15,26,0,1,42,0,0
16,26,0,0,43,0,0
17,26,0,0,43,0,0
18,26,0,0,43,0,0
19,26,0,0,43,0,0
20,26,0,0,43,0,0
21,26,0,0,43,0,0
22,26,0,0,43,0,0
23,26,0,0,43,0,0
24,26,0,0,43,0,0
25,26,0,0,43,0,0
26,26,0,0,43,0,0
27,26,0,0,43,0,0
28,26,0,0,43,0,0
29,26,0,0,43,0,0
30,26,0,0,43,0,0
31,26,0,0,43,0,0
32,26,0,0,43,0,0
33,26,0,0,43,0,0
34,26,0,0,43,0,0
35,26,0,0,43,0,0
36,26,0,0,43,0,0
37,26,0,0,43,0,0
38,26,0,0,43,0,0
39,26,0,0,43,0,0
40,26,0,0,43,0,0
